id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
5YOkA7qd2983FtBQnP8sYx,Solo de Mi,Solo de Mi,4tpexvNazI77pndY3LdOLX,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],1,1,True,0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,197968,4.0,2018,2018-12-14
1HafbwhxZEVJl9zkQ4t03g,Cántalo,PAUSA,3hS1wzvOJuioDs9VV6HW3R,"['Ricky Martin', 'Residente', 'Bad Bunny']","['7slfeZO9LsJbWgpkIoXBUJ', '5GcWBUX00IPuWVGMIRK1sS', '4q3ewBCX7sLwd24euuV69X']",6,1,False,0.708,0.795,1,-4.71,1,0.115,0.0339,0.0,0.362,0.7340000000000001,95.041,218996,4.0,2020,2020-05-28
038kavjqUaGIYZL5lYocvX,Krippy Kush (feat. 21 Savage & Rvssian) - Remix,Krippy Kush (feat. 21 Savage & Rvssian) [Remix],6PLLKjD7vpHDrl8tc7aFaR,"['Farruko', 'Nicki Minaj', 'Bad Bunny', '21 Savage', 'Rvssian']","['329e4yvIujISKGKz1BZZbO', '0hCNtLu0JehylgoiP8L4Gh', '4q3ewBCX7sLwd24euuV69X', '1URnnhqYAYcrqrcwql10ft', '1fctva4kpRbg2k3v7kwRuS']",1,1,True,0.743,0.6709999999999999,9,-5.2410000000000005,1,0.122,0.0512,0.0,0.1159999999999999,0.499,163.22899999999996,237160,4.0,2017,2017-11-21
116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),MIA (feat. Drake),0p0W4RXcnc59jgatcdZozO,"['Bad Bunny', 'Drake']","['4q3ewBCX7sLwd24euuV69X', '3TVXtAsR1Inumwj472S9r4']",1,1,False,0.8170000000000001,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4.0,2018,2018-10-11
3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,Te Boté (Remix),42wLKnuGyBLGWwH89lnimL,"['Nio Garcia', 'Casper Magico', 'Bad Bunny', 'Darell', 'Ozuna', 'Nicky Jam']","['5hdhHgpxyniooUiQVaPxQ0', '1fux65HMCBvfJHqlBc4Nno', '4q3ewBCX7sLwd24euuV69X', '1TtXnWcUs0FCkaZDPGYHdf', '1i8SpTcr7yvPOmcqrbnVXY', '1SupJlEpv7RS2tPNRaHViT']",1,1,True,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920,4.0,2018,2018-04-13
3bsycjdQtbcJeR6822SBvd,I Like It,Invasion of Privacy,4sDAyYEMhD2YyREWKxj3aD,"['Cardi B', 'Bad Bunny', 'J Balvin']","['4kYSro6naA4h99UJvo89HB', '4q3ewBCX7sLwd24euuV69X', '1vyhD5VmyZ7KMfW5gqLgo5']",7,1,False,0.8140000000000001,0.721,5,-4.026,0,0.136,0.0981,0.0,0.3779999999999999,0.643,136.05,253390,4.0,2018,2018-04-05
6IoKSUyNOOheJRjiuGb1ew,47 - Remix,47 (Remix),0uwIB5LyXa2riRyWUwKiJA,"['Anuel AA', 'Sinfonico', 'Farruko', 'Ñengo Flow', 'Casper Magico', 'Darell', 'Bad Bunny', 'Lil Geniuz']","['2R21vXR83lH98kGeO99Y66', '17vZy9fIIt6woqdWfc7UCy', '329e4yvIujISKGKz1BZZbO', '12vb80Km0Ew53ABfJOepVz', '1fux65HMCBvfJHqlBc4Nno', '1TtXnWcUs0FCkaZDPGYHdf', '4q3ewBCX7sLwd24euuV69X', '7nuTWfojdN0o8d7NGDo71U']",1,1,True,0.711,0.6990000000000001,6,-4.891,1,0.193,0.248,0.0,0.254,0.376,146.016,517810,4.0,2017,2017-03-31
31e9lCl1p0tGbz3Sk15i9S,"Thinkin (feat. Anuel AA, Bad Bunny & Future)","Thinkin (feat. Anuel AA, Bad Bunny & Future)",5y42q0ijNPsFrjLSdpGNIR,"['Spiff TV', 'Anuel AA', 'Bad Bunny', 'Future']","['1PruL3P8slDEQAjSuOjuPd', '2R21vXR83lH98kGeO99Y66', '4q3ewBCX7sLwd24euuV69X', '1RyvyyTE3xzB2ZywiAwp0i']",1,1,False,0.871,0.599,2,-7.016,1,0.201,0.136,0.00426,0.0976,0.187,120.041,247982,4.0,2018,2018-04-06
2M3ksgOQpMfDppYru2zA14,Haters - Remix,La Fama Que Camina,6UWxKTmymTkZSHB7Y0sjU0,"['J Alvarez', 'Bad Bunny', 'Almighty']","['6XFITTl7cFTdopDY3lUdlY', '4q3ewBCX7sLwd24euuV69X', '6P6GTRTigHBp8ZesNtpCKH']",13,1,False,0.813,0.722,6,-5.625,0,0.155,0.0608,0.0,0.222,0.5820000000000001,129.96200000000002,328849,4.0,2018,2018-03-30
7narbj6zkSW1SnMhAPep0u,Triste,La Oscuridad,38QMtmbbl4jdpeQ29I8vMB,"['Bryant Myers', 'Bad Bunny']","['6w9ToX5slZ4uIdmD17hJ3c', '4q3ewBCX7sLwd24euuV69X']",6,1,True,0.6920000000000001,0.7190000000000001,9,-5.3729999999999976,1,0.124,0.408,0.0,0.0986,0.266,130.053,264906,4.0,2018,2018-07-27
